file,npts,vmin,vmax,vstep_med,Lmax,Jmax,PDmax,pd_noise_off,L_per_PDV,noise_L_equiv,J_leak,J_rev,EQEmax,L_at_EQEmax,EQE_1,EQE_10,EQE_100,EQE_1000,lum_per_mW
2023-12-20_F6T2-Irppy-Batch1_d33_p4_jvl_s1_eval.csv,71,-2.0,7.0,0.1,0.0,0.00772,8.29e-05,2.1541308781037424e-05,nan,nan,2e-05,0.00263,nan,nan,nan,nan,nan,nan,nan
2023-12-20_F6T2-Irppy-Batch1_d33_p5_jvl_s1_eval.csv,71,-2.0,7.0,0.1,0.0,940.0395,9.1e-05,nan,nan,nan,83.84462,77.6208,nan,nan,nan,nan,nan,nan,nan
2023-12-20_F6T2-Irppy-Batch1_d33_p6_jvl_s1_eval.csv,71,-2.0,7.0,0.1,5042.7,806.94975,0.0149327,nan,337695.0473374828,nan,135.22668,15.7579,1.18,5042.7,nan,nan,0.0500883659058837,0.3804155377344616,179647.31029568933
2023-12-20_F6T2-Irppy-Batch1_d33_p7_jvl_s1_eval.csv,71,-2.0,7.0,0.1,6144.87,58.02557,0.0181965,nan,337695.28594650514,nan,4.39855,10.23457,2.76,4574.59,nan,nan,0.09226939704281231,0.6558278643111225,179674.56140350876
2023-12-20_F6T2-Irppy-Batch1_d33_p8_jvl_s1_eval.csv,71,-2.0,7.0,0.1,2697.98,53.54252,0.0079894,2.4185097645809217e-05,337694.9000867113,8.167184133088899,0.0,2e-05,1.34,2697.98,nan,nan,nan,0.5287148064010151,179625.83222370173
2023-12-20_F6T2-Irppy-Batch1_d34_p4_jvl_s1_eval.csv,61,-2.0,6.0,0.1,14874.48,281.7355,0.0476293,nan,312296.832709025,nan,0.13903,0.19105,2.53,1026.83,nan,nan,1.1195375000160364,2.5247112315584412,167411.14237478896
2023-12-20_F6T2-Irppy-Batch1_d34_p5_jvl_s1_eval.csv,61,-2.0,6.0,0.1,0.0,4131.985,0.0007959,nan,nan,nan,790.05425,1024.963,nan,nan,nan,nan,nan,nan,nan
2023-12-20_F6T2-Irppy-Batch1_d34_p6_jvl_s1_eval.csv,61,-2.0,6.0,0.1,54.5,2e-05,0.0006432,0.0001472710122556126,nan,nan,0.0,2e-05,56871.36,54.5,nan,nan,nan,nan,165151.51515151517
2023-12-20_F6T2-Irppy-Batch1_d34_p7_jvl_s1_eval.csv,61,-2.0,6.0,0.1,0.0,3511.81,0.0001094,nan,nan,nan,158.4755,265.88025,nan,nan,nan,nan,nan,nan,nan
2023-12-20_F6T2-Irppy-Batch1_d34_p8_jvl_s1_eval.csv,61,-2.0,6.0,0.1,17346.03,330.72575,0.0555434,nan,312296.8359369705,nan,0.1806,0.25427,2.9,667.0,nan,nan,2.1752650710114425,2.8770299005302653,167416.56210790464
2023-12-20_F6T2-Irppy-Batch1_d42_p1_jvl_s1_eval.csv,61,-2.0,6.0,0.1,25227.14,106.87542,0.0705241,nan,357709.53230798023,nan,0.01405,0.02583,4.5,3706.05,nan,nan,1.4631246311460844,3.5488130080024334,275555.87110868376
2023-12-20_F6T2-Irppy-Batch1_d42_p2_jvl_s1_eval.csv,61,-2.0,6.0,0.1,16286.19,62.40635,0.0455291,nan,357709.5834445618,nan,0.00447,0.0064,4.93,2935.72,nan,nan,4.008290813335851,4.7872443965569245,275570.0507614213
2023-12-20_F6T2-Irppy-Batch1_d42_p4_jvl_s1_eval.csv,61,-2.0,6.0,0.1,21506.43,95.65098,0.0601226,nan,357709.57925034006,nan,0.00783,0.0174,4.42,7374.86,nan,nan,1.4848551967223247,1.6758128351006139,275546.8289557976
2023-12-20_F6T2-Irppy-Batch1_d42_p5_jvl_s1_eval.csv,61,-2.0,6.0,0.1,32381.08,151.99882,0.0905234,nan,357709.4826461751,nan,0.01333,0.02235,4.27,9863.48,nan,nan,3.1849600309173285,3.099824336685286,275560.20764190285
2023-12-20_SpPVKmCPCN11n12_d21_p1_jvl_s1_eval.csv,84,-2.0,9.0,0.1,10833.83,81.9116,0.0535291,nan,202391.39287421582,nan,0.0024,0.00315,6.24,697.38,nan,nan,4.373101033782076,6.131652096272427,147902.11604095565
