file,class,Lmax,J_leak,EQE_100,Eplateau,noiseL,offL,L_min_trust
2021-08-25_CBP with BSBCz_d34_p4_jvl_eval.csv,reliable,1530.55,0.00426,1.4894773517479731,1.91,1.6917910916005263,-0.9620914152298852,17.0
2021-08-25_CBP with BSBCz_d34_p5_jvl_eval.csv,dead,0.0,0.0,,,,,
2021-08-25_CBP with BSBCz_d34_p8_jvl_eval.csv,leaky,1626.43,0.01878,0.5758313863804636,1.52,1.217236631340803,1.7212864733413058,12.0
2021-08-25_CBP with BSBCz_d41_p1_jvl_eval.csv,dead,0.0,106.32044,,,,,
2021-08-25_CBP with BSBCz_d41_p4_jvl_eval.csv,reliable,967.65,1e-05,2.1163973697109806,1.99,1.3795339629152776,0.8854360244335172,14.0
2021-08-25_CBP with BSBCz_d41_p5_jvl_eval.csv,reliable,784.5,4e-05,2.1469747861517927,2.07,2.1468955811620094,3.300733828903395,21.0
2021-08-25_CBP with BSBCz_d41_p8_jvl_eval.csv,reliable,813.53,0.00114,2.0019808809252915,1.92,0.6234484434960085,4.341473719507083,6.0
2021-08-25_CBP with BSBCz_d42_p1_jvl_eval.csv,dead,0.0,0.0,,,,,
2021-08-25_CBP with BSBCz_d42_p4_jvl_eval.csv,reliable,670.53,3e-05,1.88,1.84,1.001802785152256,1.4065824458318033,10.0
2021-08-25_CBP with BSBCz_d42_p5_jvl_eval.csv,reliable,631.64,0.00498,1.5678630814407326,1.76,0.5709654898734952,0.7781105663409691,6.0
2021-08-25_CBP with BSBCz_d42_p8_jvl_eval.csv,reliable,633.37,1e-05,1.9146348845525591,1.93,1.2777073004007604,-2.83309904560354,13.0
2021-08-25_CBP with BSBCz_d43_p1_jvl_eval.csv,reliable,1661.71,8e-05,1.6790977685089037,1.78,2.6307536737092385,-6.127663461763398,26.0
2021-08-25_CBP with BSBCz_d43_p4_jvl_eval.csv,reliable,1825.04,2e-05,1.9361269968566264,1.9,1.8182881858264712,1.819975653929515,18.0
