file,noiseL,offL,pdnoise,LperPD,Eplateau,n_1_10,n_10_100,gain
2021-09-08_210907_d13_p5_jvl_eval.csv,0.43434322433234307,-0.13397145392107596,1.5237672613186918e-05,28504.564664058715,1.69,0,1,
2021-09-08_210907_d13_p8_jvl_eval.csv,0.41415033091561515,1.4736881185773587,1.452924254353574e-05,28504.605775190692,1.75,0,2,
2021-09-08_210907_d14_p1_jvl_eval.csv,0.4071173070421195,0.13358863961469847,1.5847230743010662e-05,25690.123002826625,1.53,0,2,
2021-09-08_210907_d14_p4_jvl_eval.csv,0.16708059470988545,0.5035259785570431,6.503695530662207e-06,25690.10094678791,1.56,0,2,
2021-09-08_210907_d14_p5_jvl_eval.csv,0.3642486414362306,0.1759772698009588,1.4178553836301109e-05,25690.112379702012,1.59,0,2,
2021-09-08_210907_d14_p8_jvl_eval.csv,0.605055093267843,1.0263206254616144,2.3552046384314227e-05,25690.1282969115,1.4849999999999999,0,2,
2021-09-08_210907_d21_p1_jvl_eval.csv,0.7099680246002374,-0.6561488436705101,2.3263490709693593e-05,30518.550868395818,0.86,0,1,
2021-09-08_210907_d21_p4_jvl_eval.csv,0.6278450420286658,-0.3769043973969121,2.0572554532677754e-05,30518.57468800908,0.83,0,1,
2021-09-08_210907_d21_p5_jvl_eval.csv,0.8482137771042447,0.476089626938312,2.7793369513049133e-05,30518.56582937898,0.81,0,1,
2021-09-08_210907_d21_p8_jvl_eval.csv,0.803643145775285,1.568652346112958,2.6332958858096866e-05,30518.528134493346,0.83,0,1,
2021-09-08_210907_d22_p1_jvl_eval.csv,0.9361669788186894,-0.9002138386661203,2.9378261048302745e-05,31865.976589951162,0.85,0,1,
2021-09-08_210907_d22_p4_jvl_eval.csv,0.2893258032936042,0.9703183693269788,9.079464007675048e-06,31865.956299736576,0.845,0,1,
2021-09-08_210907_d22_p5_jvl_eval.csv,0.6694185304838062,-1.416438135914218,2.1007379655730506e-05,31865.874823716942,0.82,0,1,
2021-09-08_210907_d22_p8_jvl_eval.csv,0.8598588057350999,0.5719938489250579,2.6983621575565672e-05,31865.9525863542,0.84,0,1,
2021-09-08_210907_d23_p1_jvl_eval.csv,0.7038858277779134,-0.48293874570179846,2.2372707827966547e-05,31461.807537576446,0.85,0,1,
2021-09-08_210907_d23_p8_jvl_eval.csv,0.6800235214176971,-0.47979108468879295,2.1614321383954876e-05,31461.710471396254,0.845,0,1,
2021-09-08_210907_d24_p1_jvl_eval.csv,0.7980057028453289,0.6833717950677284,2.6858192418701597e-05,29711.817176857756,0.79,0,1,
2021-09-08_210907_d24_p4_jvl_eval.csv,0.5184259286054362,0.8051864002263622,1.7448559316523018e-05,29711.675285105615,0.77,0,2,
2021-09-08_210907_d24_p5_jvl_eval.csv,0.3414228284177758,0.8022191727112331,1.1491144416462618e-05,29711.821211527153,0.735,0,2,
2021-09-08_210907_d24_p8_jvl_eval.csv,0.4492521839406172,-1.5346094638088064,1.5120378081692711e-05,29711.703074710676,0.77,0,1,
2021-09-08_210907_d31_p1_jvl_eval.csv,0.3846849965926084,0.10302702403238784,1.3068391528526269e-05,29436.29258068224,0.97,0,1,
2021-09-08_210907_d31_p4_jvl_eval.csv,0.7560692372138968,-1.2510419766281367,2.5684943576551075e-05,29436.28180301498,0.98,0,1,
2021-09-08_210907_d31_p5_jvl_eval.csv,0.6138183918125572,0.8094977345607457,2.085244350190164e-05,29436.28125675439,1.01,0,1,
2021-09-08_210907_d33_p5_jvl_eval.csv,0.6071719216470961,0.6442941343045415,2.09680245983153e-05,28957.03974402434,0.81,0,1,
2021-09-08_210907_d33_p8_jvl_eval.csv,0.6653972354107653,-0.9439973471719302,2.2978825035236245e-05,28956.97383962976,0.83,0,1,
2021-09-08_210907_d34_p4_jvl_eval.csv,0.47481790918366995,1.3088519933773761,1.639739986163118e-05,28956.902508349027,0.815,0,1,
