case,k,U_k (power at pass k),p_k,A'_k,eta_ext^(k),fraction >60 deg,cumulative eta_ext,p (cos.sin),A' (cos.sin),eq3
Ag n_sub 1.5,86,1.3657893871121322e-06,0.051220499665034835,0.05457531533337434,6.99564148450851e-08,0.9360539099834054,0.9112536289267498,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,87,1.224982049211691e-06,0.0511746456919995,0.05457645788677756,6.268802234746778e-08,0.9361001458840207,0.9112536916147721,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,88,1.098743086201985e-06,0.051132741656211386,0.054577501601143386,5.618174637331449e-08,0.9361423990298251,0.9112537477965185,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,89,9.855559048906012e-07,0.05109445052463308,0.05457845497742231,5.0356437421692806e-08,0.9361810092408933,0.9112537981529559,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,90,8.84063459917655e-07,0.05105946348604544,0.054579325793780886,4.51398059510125e-08,0.9362162878842252,0.9112538432927619,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,91,7.930511718615389e-07,0.05102749767733546,0.05458012116564015,4.046741683017284e-08,0.9362485201657409,0.9112538837601788,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,92,7.114317266343348e-07,0.05099829407787628,0.054580847600964155,3.6281804411229093e-08,0.9362779672528948,0.9112539200419832,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,93,6.382315398846097e-07,0.05097161556218739,0.05458151105113773,3.253169269066119e-08,0.9363048682377785,0.9112539525736759,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,94,5.725786965227153e-07,0.050947245101148585,0.05458211695774995,2.9171307191438948e-08,0.9363294419505082,0.9112539817449831,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,95,5.13692198411602e-07,0.05092498410224218,0.054582670295584945,2.615976703755667e-08,0.9363518886324893,0.9112540079047501,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,96,4.6087237321826816e-07,0.050904650879577115,0.05458317561210224,2.3460547258718106e-08,0.9363723914788734,0.9112540313652974,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,97,4.134923148154715e-07,0.05088607924479638,0.05458363706367286,2.1041002698814374e-08,0.9363911180591649,0.9112540524063001,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,98,3.7099024081501255e-07,0.05086911721035435,0.05458405844882486,1.887194604391646e-08,0.9364082216245647,0.9112540712782461,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,99,3.3286266610445993e-07,0.05085362579706675,0.05458444323872791,1.692727346389018e-08,0.9364238423102004,0.9112540882055196,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,100,2.986583029056172e-07,0.05083947793826704,0.05458479460513577,1.51836322016504e-08,0.9364381082399715,0.9112541033891518,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,101,2.6797260809478385e-07,0.05082655747334055,0.054585115445989985,1.3620125166610495e-08,0.9364511365412976,0.9112541170092769,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,102,2.404429075096653e-07,0.05081475822384484,0.05458540840887238,1.2218048211741929e-08,0.9364630342766059,0.9112541292273252,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,103,2.157440348765859e-07,0.05080398314585311,0.054585675912479426,1.0960656311688415e-08,0.9364738992979791,0.9112541401879815,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,104,1.935844299627386e-07,0.05079414355257768,0.054585920166283275,9.832955325071264e-09,0.9364838210309515,0.9112541500209368,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,105,1.737026467106096e-07,0.05078515840173301,0.05458614318852284,8.821516427998576e-09,0.9364928811930326,0.9112541588424532,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,106,1.5586422754814274e-07,0.0507769536424862,0.05458634682266672,7.914310656733964e-09,0.9365011544521589,0.9112541667567639,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,107,1.3985890487744188e-07,0.05076946161721142,0.054586532752477046,7.100561303000509e-09,0.9365087090298928,0.9112541738573251,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,108,1.2549809500374916e-07,0.050762620513614846,0.054586702515782015,6.370612171856902e-09,0.9365156072538348,0.9112541802279372,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,109,1.1261265354181785e-07,0.05075637386312695,0.05458685751707526,5.7158099448872946e-09,0.9365219060633906,0.9112541859437472,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,110,1.0105086468666497e-07,0.05075067008176999,0.054586999039034856,5.128399095190516e-09,0.9365276574727112,0.9112541910721463,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,111,9.067663971058544e-08,0.050745462049999655,0.05458712825305301,4.601427979255005e-09,0.9365329089943394,0.9112541956735744,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,112,8.136790269236994e-08,0.05074070672829193,0.05458724622886402,4.1286648876097385e-09,0.936537704026814,0.9112541998022392,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,113,7.301514383645811e-08,0.050736364805500915,0.054587353943341466,3.7045229740126603e-09,0.936542082209235,0.9112542035067622,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,114,6.552012283306172e-08,0.05073240037724866,0.05458745228854078,3.323993104333399e-09,0.9365460797455455,0.9112542068307553,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,115,5.879470657473431e-08,0.05072878065182871,0.054587542079045925,2.9825837733183284e-09,0.9365497297010738,0.911254209813339,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,116,5.275982720647161e-08,0.05072547568130752,0.054587624058685,2.6762673319118628e-09,0.9365530622736699,0.9112542124896064,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,117,4.734454796809766e-08,0.0507224581156967,0.05458769890666415,2.401431851318427e-09,0.9365561050415777,0.9112542148910382,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,118,4.2485225609593103e-08,0.050719702978243734,0.054587767243173935,2.1548380238822364e-09,0.9365588831900156,0.9112542170458762,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,119,3.812475933994899e-08,0.050717187460048434,0.054587829634507146,1.9335805663134253e-09,0.9365614197182691,0.9112542189794567,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,120,3.421191732379287e-08,0.050714890732362,0.05458788659773839,1.735053648820758e-09,0.9365637356289552,0.9112542207145103,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,121,3.0700732681329254e-08,0.05071279377506167,0.05458793860499567,1.5569199252115465e-09,0.9365658501009783,0.9112542222714303,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,122,2.7549961788362415e-08,0.05071087921991918,0.054587986087362816,1.397082784763035e-09,0.9365677806475647,0.911254223668513,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,123,2.4722598425223123e-08,0.050709131207398485,0.05458802943844476,1.2536614873324625e-09,0.9365695432606613,0.9112542249221746,0.4273761614677933,0.02755034248112953,0.9644005268479652
Ag n_sub 1.5,124,2.218543799596891e-08,0.05070753525582344,0.054588069017622365,1.1249688793464784e-09,0.9365711525428564,0.9112542260471435,0.4273761614677933,0.02755034248112953,0.9644005268479652
