ETL,d_ETL,Theta,eta_sub,spp,wg,abs,Aprime_Psub,eta_ext,EQE
iso_no,400.0,0.667,(0.9776399257269482+0j),(0.008409772070992782+0j),(8.855166510664774e-05+0j),(0.01386175053695245+0j),(0.037345918932426+0j),0.8838004630073774,(0.8640386190119749+0j)
iso_no,400.0,0.8,(0.9801751849782208+0j),(0.005354551257561877+0j),(0.00010421948297947491+0j),(0.014366044281237828+0j),(0.03505349189389839+0j),0.886751179729315,(0.8691715016208369+0j)
iso_ne,50.0,0.667,(0.6430816756705922+0j),(0.3486024050081803+0j),(2.6762113743574735e-05+0j),(0.00828915720748389+0j),(0.02942597888865972+0j),0.9170544420022753,(0.5897409072439831+0j)
iso_ne,50.0,0.8,(0.7500841861639791+0j),(0.24144728257600728+0j),(3.237918208005879e-05+0j),(0.008436152077933537+0j),(0.02869188000791012+0j),0.922875639346226,(0.6922344228695758+0j)
iso_ne,75.0,0.667,(0.7578623465597277+0j),(0.23281424090939326+0j),(2.5513416185163028e-05+0j),(0.009297899114693876+0j),(0.030729351962286433+0j),0.9100889579633229,(0.6897221532601813+0j)
iso_ne,75.0,0.8,(0.8410599599136368+0j),(0.14987149774683883+0j),(2.911343436598405e-05+0j),(0.009039428905158438+0j),(0.029070580237147037+0j),0.919221903834329,(0.7731207375906377+0j)
iso_ne,100.0,0.667,(0.8404977163269148+0j),(0.1490109557027711+0j),(2.6127181659279672e-05+0j),(0.010465200788654878+0j),(0.04382239175265945+0j),0.8889428051339253,(0.7471543976603059+0j)
iso_ne,100.0,0.8,(0.8968378395584665+0j),(0.09316788213210994+0j),(2.924808156789715e-05+0j),(0.009965030227855666+0j),(0.03698552666827026+0j),0.9058757614950391,(0.8124236608475915+0j)
iso_ne,125.0,0.667,(0.8707250087165919+0j),(0.1172534485537378+0j),(2.8503895158853636e-05+0j),(0.011993038834511374+0j),(0.042478623161922635+0j),0.8955490571621879,(0.7797769606036817+0j)
iso_ne,125.0,0.8,(0.9147166191455013+0j),(0.07382782167227316+0j),(3.229838240664044e-05+0j),(0.011423260799819068+0j),(0.036889776283752784+0j),0.9078005373287577,(0.8303802383638307+0j)
iso_ne,150.0,0.667,(0.8904550803256044+0j),(0.09611485501621839+0j),(3.074921703430753e-05+0j),(0.013399315441142935+0j),(0.03728998095004843+0j),0.9060708276651284,(0.8068153716292388+0j)
iso_ne,150.0,0.8,(0.9248431294575132+0j),(0.062160090105312996+0j),(3.590492656769e-05+0j),(0.012960875510605886+0j),(0.03429142054617784+0j),0.9121713123948416,(0.8436153711566122+0j)
iso_ne,175.0,0.667,(0.9159625443109534+0j),(0.07040951054766527+0j),(2.9864036848300077e-05+0j),(0.013598081104533116+0j),(0.032767221445212935+0j),0.9153602668980061,(0.838435719029051+0j)
iso_ne,175.0,0.8,(0.9404813276108921+0j),(0.046216875820185514+0j),(3.546802999047349e-05+0j),(0.01326632853893177+0j),(0.03158015159518257+0j),0.917230915678016,(0.8626385493026146+0j)
iso_ne,200.0,0.667,(0.9409215743260121+0j),(0.04630496724878127+0j),(2.6649345056409784e-05+0j),(0.01274680908015027+0j),(0.029721375847962972+0j),0.9218833768204029,(0.8674199582628337+0j)
iso_ne,200.0,0.8,(0.9575342228635381+0j),(0.030098980583514335+0j),(3.138484092003816e-05+0j),(0.012335411712027627+0j),(0.029309693066818077+0j),0.9218453225232307,(0.8826984445026693+0j)
iso_ne,225.0,0.667,(0.9582813980670413+0j),(0.029824527503542562+0j),(2.38847027976925e-05+0j),(0.01187018972661858+0j),(0.027657530934484642+0j),0.9266049607241607,(0.8879482972186046+0j)
iso_ne,225.0,0.8,(0.9695616551392461+0j),(0.01905558598041056+0j),(2.7671752882577428e-05+0j),(0.011355087127460932+0j),(0.02736864283784879+0j),0.9260436854850447,(0.8978564484301274+0j)
iso_ne,250.0,0.667,(0.9686916425195524+0j),(0.01985022683645288+0j),(2.2608478156113283e-05+0j),(0.011435522165838374+0j),(0.026347808463016986+0j),0.9301946861774151,(0.9010718184161598+0j)
iso_ne,250.0,0.8,(0.976571676275106+0j),(0.012534840708821932+0j),(2.589860490613375e-05+0j),(0.010867584411165802+0j),(0.026042290559677328+0j),0.9296024783517867,(0.9078234505534972+0j)
iso_ne,275.0,0.667,(0.9745893482114837+0j),(0.01387372016660229+0j),(2.284678800040806e-05+0j),(0.011514084833913578+0j),(0.02589988228996354+0j),0.932161291600556,(0.9084744656089607+0j)
iso_ne,275.0,0.8,(0.9802864411316922+0j),(0.008743735575361176+0j),(2.612237231846921e-05+0j),(0.010943700920628137+0j),(0.02562170018710963+0j),0.9315935799786836,(0.9132285550984363+0j)
iso_ne,300.0,0.667,(0.9778707237853944+0j),(0.010084916629102741+0j),(2.427472435522096e-05+0j),(0.01202008486114761+0j),(0.02589950544925157+0j),0.9324894383435056,(0.9118541219951998+0j)
iso_ne,300.0,0.8,(0.9820624906626297+0j),(0.006407803412593641+0j),(2.797378285479482e-05+0j),(0.011501732141921869+0j),(0.025690916437617894+0j),0.9318956463910049,(0.9151797595324115+0j)
iso_ne,325.0,0.667,(0.9800864993380811+0j),(0.007304868882035377+0j),(2.5842531989249227e-05+0j),(0.0125827892478941+0j),(0.025900796326053688+0j),0.9322471734617023,(0.9136828687559007+0j)
iso_ne,325.0,0.8,(0.9831116457452327+0j),(0.00470025165761524+0j),(3.0136844527284843e-05+0j),(0.012157965752624596+0j),(0.0257562037527983+0j),0.9316943589154969,(0.9159595745249637+0j)
iso_ne,350.0,0.667,(0.9822819183976468+0j),(0.0050197433579083255+0j),(2.6110381865433462e-05+0j),(0.01267222786257943+0j),(0.026021172955269956+0j),0.9323451905041984,(0.9158258223372835+0j)
iso_ne,350.0,0.8,(0.9844155373750157+0j),(0.003250197080141375+0j),(3.060234207464285e-05+0j),(0.012303663202768348+0j),(0.025953583054972085+0j),0.9319676929211859,(0.9174434772431629+0j)
iso_ne,375.0,0.667,(0.9844216494135604+0j),(0.003288852010948355+0j),(2.5033303106793207e-05+0j),(0.012264465272384405+0j),(0.02591438038330851+0j),0.9330081664348617,(0.9184734381181282+0j)
iso_ne,375.0,0.8,(0.9859715450609285+0j),(0.0021228341639576943+0j),(2.9191157658532997e-05+0j),(0.011876429617455267+0j),(0.025877059944031444+0j),0.9328326297239338,(0.919746429212156+0j)
iso_ne,400.0,0.667,(0.9860524905701089+0j),(0.002153266563238697+0j),(2.37377614504998e-05+0j),(0.01177050510520201+0j),(0.02538660726169817+0j),0.9340750492095716,(0.9210470286524951+0j)
iso_ne,400.0,0.8,(0.9872514773891454+0j),(0.0013819090721826665+0j),(2.7442537067961663e-05+0j),(0.011339171001604025+0j),(0.02530291021604003+0j),0.9340460285578954,(0.9221383216432462+0j)
B3_ne_1.5,50.0,0.667,(0.8903093320560054+0j),(0.09792974027464287+0j),(3.74045446511593e-05+0j),(0.011723523124700546+0j),(0.08896653663509702+0j),0.7996385138695361,(0.7119256311694435+0j)
B3_ne_1.5,50.0,0.8,(0.9249835264324238+0j),(0.06383005078265527+0j),(4.3926127032168414e-05+0j),(0.011142496657888787+0j),(0.06810184136083419+0j),0.841742603427005,(0.7785980416663203+0j)
B3_ne_1.5,75.0,0.667,(0.919648441569205+0j),(0.065885318150638+0j),(4.204784544343142e-05+0j),(0.014424192434713644+0j),(0.07403087105815764+0j),0.8447530009552473,(0.7768757808394023+0j)
B3_ne_1.5,75.0,0.8,(0.946687716036773+0j),(0.04026830784394271+0j),(4.706591198450029e-05+0j),(0.01299691020729973+0j),(0.05892435088741099+0j),0.869149194336703,(0.8228128656818148+0j)
B3_ne_1.5,100.0,0.667,(0.9245290043453989+0j),(0.05773761641066954+0j),(5.2114200572324845e-05+0j),(0.017681265043359286+0j),(0.07087583990767443+0j),0.8563477436434772,(0.7917183268041329+0j)
B3_ne_1.5,100.0,0.8,(0.9491639240204758+0j),(0.03502228106862325+0j),(5.846170111933509e-05+0j),(0.01575533320978159+0j),(0.05997924767043972+0j),0.8701833271742485,(0.8259466214379032+0j)
B3_ne_1.5,125.0,0.667,(0.925990404051451+0j),(0.0533852604133306+0j),(6.507218927566868e-05+0j),(0.020559263345942623+0j),(0.0702856217407214+0j),0.8537308026441471,(0.7905465308916234+0j)
B3_ne_1.5,125.0,0.8,(0.9479590703797734+0j),(0.03322135021366022+0j),(7.530877260994118e-05+0j),(0.01874427063395638+0j),(0.0645507144099815+0j),0.8577636262149203,(0.8131248097122793+0j)
B3_ne_1.5,150.0,0.667,(0.9358138618327189+0j),(0.04336540684583953+0j),(7.199429503278304e-05+0j),(0.02074873702640861+0j),(0.0655829570973161+0j),0.8526862709682311,(0.7979556321665205+0j)
B3_ne_1.5,150.0,0.8,(0.9528775149233555+0j),(0.027539858504388667+0j),(8.528945597284678e-05+0j),(0.01949733711628297+0j),(0.06561533982870826+0j),0.8481153287512749,(0.8081500268289196+0j)
