angle_deg,Al,Ag,ITO_50_nm_+_chirped_DBR,ITO_50_nm_+_plain_quarter-wave_DBR,weight
2.310279329608938426e+01,1.531822420138930774e+01,3.977215816232082535e+00,3.786064653821874515e+00,5.889263032036051726e+00,7.218454996510602628e-01
2.360502793296089408e+01,1.537403068160802988e+01,3.997756565999188716e+00,3.760348798729318265e+00,6.126955098795794363e+00,7.338671847676331295e-01
2.410726256983240035e+01,1.543101337709638088e+01,4.019241393061879108e+00,3.739347230618117468e+00,6.385321013646616528e+00,7.456633242665462458e-01
2.460949720670391017e+01,1.548899087168346078e+01,4.041645365200807305e+00,3.723511478992358459e+00,6.665304849865904657e+00,7.572302927403355977e-01
2.511173184357541999e+01,1.554776154437617031e+01,4.064936928595875187e+00,3.713308625958344766e+00,6.968972797212247272e+00,7.685645352146096565e-01
2.561396648044692625e+01,1.560710330462148399e+01,4.089077631974369353e+00,3.709220589335959772e+00,7.299384500480221583e+00,7.796625682406285174e-01
2.611620111731843608e+01,1.566677344932786475e+01,4.114021868298345375e+00,3.711750042807959726e+00,7.659770157850531724e+00,7.905209809659041742e-01
2.661843575418994590e+01,1.572650865330848013e+01,4.139716635403811296e+00,3.721428276867866369e+00,8.053196626727299190e+00,8.011364361824836466e-01
2.712067039106145216e+01,1.578602510592813601e+01,4.166101316810100208e+00,3.738823799025103867e+00,8.482953371181611857e+00,8.115056713526037635e-01
2.762290502793296199e+01,1.584501880840930532e+01,4.193107483775060373e+00,3.764556324782697416e+00,8.952880978601985618e+00,8.216254996113937503e-01
2.812513966480446825e+01,1.590316604861894412e+01,4.220658719600811182e+00,3.799314810212839344e+00,9.467621798415615686e+00,8.314928107463209761e-01
2.862737430167597807e+01,1.596012407338656125e+01,4.248670467297843700e+00,3.843872901986511437e+00,1.003288314776211720e+01,8.411045721530796548e-01
2.912960893854748434e+01,1.601553198264079469e+01,4.277049902031171413e+00,3.899096897985965260e+00,1.065522983032879445e+01,8.504578297676258503e-01
2.963184357541899416e+01,1.606901187499749639e+01,4.305695830442868299e+00,3.965944731841364312e+00,1.134186398851466748e+01,8.595497089740761210e-01
3.013407821229050754e+01,1.612017028093767479e+01,4.334498620036142391e+00,4.045457799049156478e+00,1.210066494004834503e+01,8.683774154881870322e-01
3.063631284916201380e+01,1.616859992732273454e+01,4.363340163470896371e+00,4.138746804274973101e+00,1.294002529323362616e+01,8.769382362161455280e-01
3.113854748603352007e+01,1.621388188550080400e+01,4.392093884953451877e+00,4.246979519311711471e+00,1.386798121264248884e+01,8.852295400884084842e-01
